WAVELENGTH,AR Reflecttance @ 00 AOI,AR Reflecttance @ 30 AOI,AR Transmittance @ 00 AOI,AR Transmittance @ 30 AOI
2,18.738937,15.746307,42.527008,44.65599
2.002,18.816295,15.792423,42.614276,44.828992
2.004,18.86058,15.80852,42.635064,44.905858
2.006,18.853472,15.780964,42.631028,44.925151
2.008,18.850556,15.753254,42.730523,45.092912
2.01,18.872366,15.781784,42.782157,45.201346
2.012,18.911408,15.835303,42.767472,45.220859
2.014,18.94571,15.827588,42.83802,45.35663
2.016,18.956112,15.803797,42.901352,45.448819
2.018,18.960935,15.806193,42.908992,45.460371
2.02,19.001302,15.80378,42.961667,45.611452
2.022,19.060719,15.791927,43.018233,45.754892
2.024,19.095787,15.780278,43.03536,45.756565
2.026,19.090924,15.766615,43.119425,45.889376
2.028,19.085021,15.775505,43.210894,46.073835
2.03,19.113627,15.816114,43.215208,46.10298
2.032,19.125627,15.82322,43.256804,46.189011
2.034,19.105997,15.7865,43.355917,46.355493
2.036,19.10253,15.769386,43.383386,46.366785
2.038,19.122902,15.794522,43.415781,46.430238
2.04,19.14841,15.829227,43.50811,46.655061
2.042,19.153993,15.812872,43.559478,46.745149
2.044,19.159177,15.767472,43.591578,46.767949
2.046,19.191054,15.756368,43.676552,46.937518
2.048,19.201153,15.79183,43.749088,47.052078
2.05,19.187215,15.825589,43.794787,47.070155
2.052,19.204631,15.796168,43.879153,47.205968
2.054,19.239575,15.768575,43.939274,47.353606
2.056,19.255844,15.79446,43.943969,47.407405
2.058,19.241048,15.799764,44.01301,47.531248
2.06,19.21979,15.752499,44.128123,47.703731
2.062,19.230342,15.694906,44.173508,47.767255
2.064,19.254068,15.708748,44.222246,47.855607
2.066,19.262379,15.78079,44.326485,48.037149
2.068,19.25436,15.763823,44.400139,48.135378
2.07,19.243913,15.695626,44.457075,48.19792
2.072,19.245813,15.696637,44.552668,48.358375
2.074,19.258563,15.705176,44.612809,48.484986
2.076,19.265737,15.677812,44.630388,48.530008
2.078,19.254447,15.689621,44.728094,48.675256
2.08,19.232152,15.708373,44.854156,48.851568
2.082,19.220569,15.669331,44.898226,48.909755
2.084,19.258777,15.625591,44.937857,49.006764
2.086,19.311868,15.615381,45.024604,49.192946
2.088,19.274768,15.607959,45.10205,49.287244
2.09,19.204626,15.587694,45.177848,49.342841
2.092,19.218167,15.559596,45.284793,49.507964
2.094,19.253967,15.546207,45.358059,49.644643
2.096,19.241282,15.555978,45.378535,49.67733
2.098,19.211277,15.565251,45.443168,49.781188
2.1,19.20504,15.559091,45.530843,49.934149
2.102,19.241785,15.540915,45.551607,49.989854
2.104,19.270754,15.529945,45.571023,50.045602
2.106,19.253385,15.532807,45.643705,50.182085
2.108,19.229348,15.529515,45.696159,50.273357
2.11,19.221486,15.506736,45.726646,50.326876
2.112,19.217086,15.471336,45.810702,50.481558
2.114,19.210021,15.454401,45.909018,50.651029
2.116,19.198658,15.472524,45.960965,50.709927
2.118,19.180208,15.479682,46.036292,50.818119
2.12,19.154224,15.448195,46.163721,51.032358
2.122,19.118149,15.408348,46.257993,51.142799
2.124,19.091677,15.38089,46.335298,51.203901
2.126,19.09778,15.367726,46.472193,51.424423
2.128,19.10639,15.347695,46.60616,51.640201
2.13,19.086556,15.312738,46.675777,51.687423
2.132,19.061162,15.308756,46.749158,51.762353
2.134,19.046121,15.334549,46.859967,51.955654
2.136,19.029134,15.324491,46.956526,52.114631
2.138,19.01074,15.265389,47.040173,52.225099
2.14,18.999603,15.197557,47.150454,52.383164
2.142,18.986173,15.158082,47.259322,52.536162
2.144,18.963053,15.155218,47.337158,52.626034
2.146,18.944972,15.153715,47.433291,52.753317
2.148,18.933412,15.123252,47.564969,52.957612
2.15,18.898004,15.069513,47.669683,53.117654
2.152,18.849967,15.02218,47.754826,53.233065
