WAVELENGTH,AR-AR-T-00AOI,AR-AR-T-30AOI,AR-AR-T-45AOI,AR-AR-T-55AOI,DLC-AR-T-00AOI,DLC-AR-T-00AOI,DLC-AR-T-00AOI,DLC-AR-T-00AOI,AR-R-00AOI,AR-R-30AOI,DLC-R-00AOI
6,50.937101,63.342751,68.03011,68.966801,56.777261,59.29968,61.671207,63.388909,21.908682,16.50375,21.918035
6.002,50.986614,63.412618,68.095091,69.027818,56.831979,59.361217,61.730941,63.442696,21.867908,16.466549,21.888284
6.004,51.031745,63.479452,68.155974,69.08463,56.890328,59.427412,61.79475,63.499886,21.83034,16.430496,21.857648
6.006,51.072955,63.54394,68.21339,69.137799,56.953049,59.499118,61.863476,63.561206,21.795753,16.395148,21.827024
6.008,51.110713,63.605544,68.267661,69.187884,57.015158,59.569757,61.931019,63.621243,21.764016,16.361199,21.797476
6.01,51.144431,63.663687,68.319064,69.235401,57.071655,59.632737,61.991263,63.67457,21.735532,16.329364,21.770062
6.012,51.173666,63.718091,68.367263,69.280021,57.122609,59.688216,62.044369,63.7213,21.71064,16.299726,21.745845
6.014,51.199295,63.76927,68.412504,69.321889,57.169873,59.738571,62.09253,63.76341,21.688748,16.271921,21.72352
6.016,51.221483,63.817859,68.45542,69.361592,57.214012,59.784417,62.136287,63.801441,21.669754,16.245679,21.702879
6.018,51.24013,63.864024,68.496081,69.399139,57.255811,59.826748,62.176531,63.836215,21.65355,16.22092,21.683583
6.02,51.255492,63.906834,68.533358,69.433385,57.295737,59.866347,62.213992,63.868319,21.639948,16.198014,21.665694
6.022,51.268905,63.947907,68.569375,69.466562,57.331904,59.900459,62.246151,63.895595,21.627993,16.17633,21.649608
6.024,51.280785,63.989141,68.606607,69.501265,57.362231,59.926023,62.270211,63.915653,21.617265,16.155121,21.635314
6.026,51.292371,64.03055,68.64527,69.537776,57.385806,59.941943,62.285168,63.927642,21.606625,16.134437,21.622985
6.028,51.303444,64.071455,68.684406,69.575069,57.403718,59.949734,62.292407,63.932744,21.596269,16.114522,21.612317
6.03,51.314199,64.113262,68.725344,69.614401,57.416672,59.94982,62.292328,63.931285,21.58605,16.094685,21.603039
6.032,51.323885,64.157147,68.769235,69.656872,57.425019,59.942123,62.284842,63.923146,21.576472,16.074373,21.595546
6.034,51.331959,64.201606,68.814959,69.701521,57.425877,59.92234,62.265744,63.904485,21.567975,16.054576,21.590161
6.036,51.341908,64.247861,68.863265,69.748925,57.4227,59.895971,62.240414,63.880239,21.557429,16.034361,21.584494
6.038,51.354152,64.298229,68.915733,69.800379,57.420892,59.871382,62.217028,63.857896,21.54439,16.012096,21.578215
6.04,51.371532,64.354248,68.973432,69.856783,57.42389,59.853836,62.200743,63.842169,21.525324,15.986719,21.56875
6.042,51.393673,64.414737,69.035573,69.917515,57.428792,59.838774,62.187116,63.82898,21.500672,15.959085,21.556542
6.044,51.420035,64.479576,69.101991,69.982338,57.435984,59.827042,62.17692,63.819074,21.471087,15.929183,21.54234
6.046,51.451211,64.548779,69.172607,70.05108,57.446208,59.820063,62.171481,63.813707,21.435703,15.8969,21.525888
6.048,51.488039,64.623688,69.249241,70.125652,57.456839,59.813048,62.16622,63.808709,21.393233,15.861918,21.507235
6.05,51.529876,64.703502,69.330845,70.204986,57.469154,59.808306,62.163355,63.806085,21.344731,15.824467,21.485563
6.052,51.576208,64.785296,69.41342,70.284847,57.489123,59.816756,62.173314,63.815351,21.290916,15.785206,21.460815
6.054,51.628812,64.866666,69.493549,70.36158,57.52254,59.848878,62.206119,63.845663,21.229737,15.744576,21.4304
6.056,51.688326,64.950153,69.573828,70.437668,57.570179,59.905346,62.262512,63.897744,21.16041,15.701357,21.393483
6.058,51.75025,65.033919,69.653018,70.512185,57.62714,59.978276,62.334823,63.964525,21.089306,15.656907,21.353943
6.06,51.814046,65.114558,69.728249,70.582631,57.688266,60.059741,62.415288,64.038823,21.017033,15.613312,21.312098
6.062,51.875478,65.190048,69.7977,70.647386,57.751517,60.146982,62.501215,64.11817,20.947602,15.571665,21.269839
6.064,51.935249,65.262303,69.862877,70.70773,57.820732,60.246249,62.598735,64.208262,20.881091,15.530656,21.227402
6.066,51.994295,65.330858,69.92385,70.763864,57.891173,60.348782,62.699232,64.301035,20.818478,15.491149,21.185721
6.068,52.051875,65.395029,69.980536,70.815866,57.957531,60.44486,62.793146,64.387552,20.761622,15.454177,21.146048
6.07,52.106982,65.45419,70.032334,70.863165,58.018846,60.532926,62.878886,64.466337,20.714087,15.420125,21.110706
6.072,52.160548,65.508927,70.079617,70.906065,58.077405,60.617055,62.960493,64.541163,20.672873,15.388435,21.078225
6.074,52.213192,65.560342,70.123673,70.945853,58.133169,60.696729,63.037587,64.611648,20.636834,15.358666,21.048119
6.076,52.263654,65.609268,70.165486,70.983515,58.186174,60.771696,63.110044,64.677652,20.605377,15.33048,21.020213
