WAVELENGTH,Normal,20 deg,Normal,20 deg
2,10.022354,11.251831,4.668045,3.482055
2.002,10.499129,11.229988,4.43744,3.331709
2.004,10.737863,11.430135,4.305427,3.311997
2.006,11.071287,12.070141,4.19276,3.318638
2.008,11.741978,12.835914,4.140192,3.346429
2.01,12.289891,13.273631,4.05605,3.137523
2.012,12.659013,13.392787,3.801475,2.799039
2.014,13.293917,13.618155,3.345911,2.700335
2.016,13.761369,13.86345,3.080353,2.46368
2.018,13.973373,14.087598,3.095102,2.03093
2.02,14.515744,14.519518,3.022843,1.922372
2.022,15.02985,15.077954,2.779741,2.156154
2.024,15.193366,15.603499,2.574287,2.363873
2.026,15.776037,16.183982,2.67064,2.163504
2.028,16.560325,16.635464,2.771293,1.963217
2.03,16.920881,16.810757,2.51097,2.273308
2.032,17.155259,17.079258,2.297327,2.595227
2.034,17.593434,17.512794,2.348676,2.587389
2.036,18.174126,17.783652,2.410463,2.489357
2.038,18.627288,17.975197,2.314185,2.306043
2.04,18.815429,18.280121,2.16369,2.179669
2.042,18.943106,18.739109,2.307498,2.461449
2.044,19.226009,19.069803,2.692095,2.956547
2.046,19.713182,19.071811,2.992585,3.249251
2.048,20.206647,19.249505,3.097549,3.407973
2.05,20.604563,19.73747,3.082395,3.561063
2.052,21.002648,20.070833,3.127939,3.710154
2.054,21.357177,20.330794,3.350245,4.069578
2.056,21.625001,20.657803,3.72786,4.625083
2.058,21.873088,20.84206,4.150331,4.911907
2.06,22.112771,20.901983,4.41552,5.023712
2.062,22.311661,21.042072,4.430177,5.450472
2.064,22.534591,21.286384,4.621808,5.904718
2.066,22.819974,21.517592,5.156945,6.14203
2.068,23.116737,21.578118,5.586097,6.43152
2.07,23.409808,21.659877,5.827879,6.829439
2.072,23.707954,22.018171,6.10827,7.21272
2.074,23.971568,22.369834,6.535238,7.482857
2.076,24.209582,22.557163,7.054909,7.756252
2.078,24.50352,22.866937,7.470295,8.382372
2.08,24.72558,23.178284,7.888009,9.064274
2.082,24.755836,23.241573,8.482477,9.365914
2.084,24.856048,23.225491,8.996213,9.732151
2.086,25.15044,23.312139,9.303923,10.326819
2.088,25.441936,23.504994,9.591412,10.672299
2.09,25.643732,23.666326,10.023523,10.850635
2.092,25.803983,23.679476,10.619619,11.268893
2.094,26.00871,23.682325,11.147397,11.894998
2.096,26.249784,23.859068,11.500446,12.529069
2.098,26.351872,24.253037,11.926419,13.034017
2.1,26.373296,24.579075,12.461488,13.330137
2.102,26.499774,24.529704,12.949998,13.478381
2.104,26.721945,24.374629,13.394671,13.704437
2.106,26.923109,24.443376,13.818258,14.125949
2.108,26.969557,24.683497,14.154965,14.580592
2.11,26.976508,24.886944,14.483799,14.95206
2.112,27.219421,24.864859,14.968527,15.277349
2.114,27.49754,24.874179,15.437884,15.553277
2.116,27.528382,25.184414,15.701501,15.786271
2.118,27.604106,25.375898,16.057912,16.11489
2.12,27.884408,25.224587,16.629063,16.516039
2.122,28.073959,25.107052,17.078129,16.729364
2.124,28.145211,25.23722,17.347448,16.887382
2.126,28.281578,25.551144,17.638665,17.323286
2.128,28.376108,25.769673,17.969637,17.781783
2.13,28.341862,25.737848,18.317515,18.005378
2.132,28.396316,25.784374,18.770533,18.337309
2.134,28.590019,26.003314,19.251353,18.870291
2.136,28.706977,26.041323,19.539629,19.234963
2.138,28.715341,25.905854,19.676498,19.353351
2.14,28.75028,25.879844,19.880827,19.431414
2.142,28.835451,25.956358,20.234663,19.580637
2.144,28.940121,26.018066,20.654217,19.816733
2.146,29.080203,26.080172,20.896794,20.083283
2.148,29.206299,26.169649,20.954837,20.31058
2.15,29.175673,26.281824,21.209892,20.51145
2.152,29.077036,26.354829,21.659804,20.648988
2.154,29.166007,26.303066,21.923591,20.655505
2.156,29.330608,26.210265,21.975515,20.738253
2.158,29.336769,26.210753,22.022056,21.095488
