WAVELENGTH,S-T-00,S-R-00,D-T-00,D-R-00
2000,67.076492,19.709396,15.31651,73.37321
2020,56.767915,26.645676,13.94893,75.45356
2040,46.377534,32.970062,12.95682,76.99409
2060,37.519364,38.379548,12.26032,78.09167
2080,30.551807,42.63133,11.80025,78.82392
2100,25.237344,46.022077,11.53975,79.24089
2120,21.070843,48.625003,11.46048,79.36761
2140,18.186151,50.71449,11.55008,79.22269
2160,16.050928,52.264294,11.80483,78.81336
2180,14.386473,53.404828,12.22862,78.13704
2200,13.08677,54.279279,12.83263,77.18221
2220,12.166428,54.879905,13.63534,75.92917
2240,11.41188,55.285574,14.66297,74.35081
2260,10.911258,55.573018,15.94699,72.41815
2280,10.62058,55.586316,17.52716,70.09786
2300,10.416039,55.465526,19.4554,67.34975
2320,10.378526,55.398766,21.78702,64.14316
2340,10.477244,55.040895,24.57683,60.46432
2360,10.669122,54.556039,27.86707,56.33209
2380,11.030932,53.808006,31.66568,51.81849
2400,11.528269,52.883939,35.91275,47.07107
2420,12.170413,51.823361,40.438,42.3291
2440,12.985938,50.529877,44.92485,37.92033
2460,13.99318,48.977083,48.91394,34.22455
2480,15.237788,47.21711,51.88303,31.60093
2500,16.719055,45.25299,53.38448,30.31471
2520,18.500222,42.87859,53.27773,30.40859
2540,20.620844,40.212804,51.69482,31.7736
2560,23.183476,37.603703,49.01711,34.14626
2580,26.07034,34.252127,45.70637,37.19923
2600,29.363714,30.660468,42.17123,40.61538
2620,33.218829,27.650902,38.70463,44.13389
2640,37.065749,25.08704,35.48146,47.5665
2660,40.991993,23.017942,32.58529,50.79294
2680,44.632094,21.894854,30.04,53.74693
2700,47.460737,21.298614,27.83537,56.40048
2720,49.175564,22.075154,25.94447,58.75029
2740,50.01098,23.17829,24.33415,60.80767
2760,48.947613,24.975137,22.97083,62.59152
2780,46.845719,27.196196,21.82336,64.12383
2800,44.476248,29.423693,20.86419,65.42696
2820,41.422017,31.719436,20.06964,66.52216
2840,38.401519,33.94268,19.41977,67.42873
2860,35.618912,36.033831,18.89801,68.16373
2880,32.739249,38.059709,18.49071,68.74197
2900,30.380488,39.842391,18.18681,69.17597
2920,28.060692,41.432034,17.97742,69.47628
2940,26.190948,42.820529,17.85555,69.65154
2960,24.443615,44.041893,17.8158,69.70872
2980,23.067473,45.08614,17.85422,69.65331
3000,21.713016,46.00409,17.96808,69.48944
3020,20.696059,46.816617,18.15303,69.22396
3040,19.713834,47.467357,18.41129,68.85468
3060,18.953212,48.00213,18.74315,68.38254
3080,18.316966,48.425527,19.1498,67.80761
3100,17.705609,48.813804,19.63324,67.12922
3120,17.311102,49.065433,20.19629,66.34602
3140,16.979719,49.263142,20.84256,65.45605
3160,16.674243,49.381861,21.57646,64.45692
3180,16.478817,49.427105,22.40317,63.34578
3200,16.355133,49.438095,23.32869,62.11954
3220,16.265546,49.362189,24.35979,60.77492
3240,16.239465,49.273062,25.504,59.30867
3260,16.328771,49.089103,26.7696,57.71769
3280,16.437941,48.849842,28.16558,55.99929
3300,16.615142,48.589575,29.70149,54.15137
3320,16.787688,48.19904,31.38735,52.17281
3340,17.059516,47.748832,33.23341,50.06366
3360,17.424135,47.204778,35.24984,47.82567
3380,17.865013,46.661478,37.44633,45.46255
3400,18.331331,46.135693,39.83152,42.98051
3420,18.847124,45.414018,42.41228,40.38864
3440,19.404628,44.643548,45.19273,37.69932
3460,20.079447,43.866615,48.17319,34.92863
3480,20.792246,43.053773,51.34882,32.09661
3500,21.612378,42.099721,54.70807,29.22739
3520,22.484535,41.137584,58.23119,26.34912
3540,23.489272,40.049088,61.88862,23.49366
3560,24.563646,38.894175,65.63976,20.69607
3580,25.739205,37.702029,69.43221,17.99364
3600,27.041414,36.409207,73.20182,15.4248
3620,28.454914,35.023343,76.87399,13.02771
3640,29.987193,33.556924,80.36623,10.83869
3660,31.661735,32.016526,83.59225,8.89063
3680,33.468374,30.391222,86.46722,7.21145
3700,35.438114,28.649749,88.91382,5.82285
3720,37.571783,26.902738,90.86822,4.73933
3740,39.887944,24.982774,92.28531,3.96766
3760,42.373053,23.1137,93.14209,3.50685
3780,45.021869,21.132218,93.43896,3.34856
3800,47.85394,19.21407,93.19857,3.47784
3820,50.829302,17.236761,92.46265,3.87432
3840,53.961254,15.297493,91.28747,4.51337
3860,57.240707,13.403583,89.73851,5.36755
3880,60.664043,11.591537,87.88536,6.40783
3900,64.246038,9.775414,85.7972,7.60477
3920,67.925713,8.078092,83.53931,8.92955
3940,71.647423,6.509329,81.17066,10.35473
3960,75.260574,5.141461,78.74256,11.85482
3980,78.74893,3.87208,76.29816,13.40666
4000,82.087707,2.890396,73.87257,14.98962
4020,85.303798,1.981947,71.49348,16.5857
4040,88.267094,1.304739,69.18195,18.17941
4060,90.79179,0.82546,66.95332,19.75771
4080,92.832704,0.54696,64.81822,21.30977
4100,94.454484,0.464201,62.78337,22.82682
4120,95.697562,0.556481,60.85242,24.30188
4140,96.446944,0.824786,59.02663,25.72953
4160,96.588507,1.229059,57.3054,27.10574
4180,96.267548,1.77099,55.68681,28.42762
4200,95.730455,2.452816,54.16797,29.69328
4220,95.265443,3.503585,52.74531,30.90159
4240,93.974639,4.384479,51.41484,32.05213
4260,91.998831,5.385132,50.17234,33.145
4280,90.428834,6.430927,49.01346,34.18073
4300,88.1635,7.260884,47.93387,35.16019
4320,85.728713,8.17437,46.9293,36.08449
4340,83.468895,9.149495,45.99562,36.95497
4360,81.22130203,10.06157248,45.12886,37.77308
4380,78.898831,11.035584,44.32522,38.54038
4400,76.707303,12.09041,43.58111,39.25849
4420,74.535201,13.090267,42.89315,39.92905
4440,72.380318,14.040526,42.25817,40.55374
4460,70.320351,14.982296,41.67318,41.13418
4480,68.33447,15.912439,41.13542,41.67201
4500,66.430734,16.767232,40.64228,42.16881
4520,64.609096,17.640449,40.19137,42.62613
4540,62.896471,18.468964,39.78043,43.04547
4560,61.266912,19.257575,39.40739,43.42827
4580,59.701799,20.028046,39.07033,43.77592
4600,58.273933,20.725385,38.76745,44.08974
4620,56.895173,21.455662,38.49709,44.37103
4640,55.598333,22.087281,38.25772,44.62098
4660,54.396711,22.710926,38.04792,44.84077
4680,53.227328,23.301055,37.86636,45.0315
4700,52.177017,23.840592,37.71183,45.19423
4720,51.163038,24.394717,37.58319,45.32997
4740,50.222988,24.880687,37.47939,45.43966
4760,49.355488,25.345284,37.39948,45.52423
4780,48.511592,25.789065,37.34253,45.58453
4800,47.795359,26.183855,37.30773,45.6214
4820,47.048397,26.572536,37.29429,45.63561
4840,46.416981,26.901293,37.30151,45.62792
4860,45.78856699,27.21053977,37.3287,45.59903
4880,45.241926,27.529898,37.37526,45.54964
4900,44.702807,27.796819,37.44061,45.48038
4920,44.221384,28.045991,37.52422,45.39189
4940,43.789494,28.28398,37.62558,45.28475
4960,43.353788,28.513631,37.74424,45.15953
4980,43.017232,28.637662,37.87977,45.01679
5000,42.64183,28.837585,38.03176,44.85705
5020,42.334719,28.959711,38.19936,44.68131
5040,42.031686,29.066516,38.38279,44.48947
5060,41.816785,29.129623,38.5817,44.282
5080,41.553569,29.250813,38.79581,44.05937
5100,41.406969,29.26029,39.02479,43.82202
5120,41.207106,29.329389,39.26838,43.5704
5140,41.088146,29.385508,39.52631,43.30491
5160,40.940963,29.404446,39.79834,43.02598
5180,40.877918,29.402674,40.08422,42.73402
5200,40.848262,29.49354,40.38374,42.42941
5220,40.782404,29.400776,40.69667,42.11255
5240,40.676377,29.38451,41.0228,41.78381
5260,40.667364,29.337693,41.36193,41.44358
5280,40.673817,29.351477,41.71386,41.09223
5300,40.743487,29.252107,42.07841,40.73013
5320,40.75259,29.152835,42.45539,40.35763
5340,40.688095,29.161705,42.8446,39.9751
5360,40.80403283,29.00072857,43.24588,39.5829
5380,40.97856,28.891249,43.65902,39.18138
5400,41.110844,28.881817,44.08386,38.7709
5420,41.216055,28.800371,44.52021,38.35182
5440,41.311271,28.55707,44.96788,37.92449
5460,41.706115,28.574905,45.42669,37.48925
5480,41.897285,28.343868,45.89644,37.04646
5500,41.905927,28.155169,46.37696,36.59648
5520,42.136292,28.094593,46.86803,36.13965
5540,42.317731,27.838943,47.36946,35.67633
5560,42.482617,27.796799,47.88104,35.20687
5580,42.684287,27.499995,48.40255,34.73162
5600,43.065745,27.288084,48.93378,34.25094
5620,43.351628,27.176953,49.47451,33.76519
5640,43.551496,26.945734,50.02449,33.2747
5660,43.932779,26.651215,50.58349,32.77985
5680,44.346393,26.436791,51.15125,32.28098
5700,44.493755,26.350845,51.72753,31.77845
5720,44.979612,25.974603,52.31207,31.27262
5740,45.518575,25.750102,52.90457,30.76383
5760,45.903939,25.64912,53.50561,30.25171
5780,46.087093,25.051634,54.11496,29.73661
5800,46.459913,25.000932,54.73147,29.21958
5820,47.200989,24.775033,55.35484,28.70097
5840,47.568887,24.233126,55.98473,28.18113
5860,47.4918229,24.26287501,56.62084,27.66042
5880,47.899757,23.909234,57.26282,27.13917
5900,48.516725,23.339272,57.91032,26.61774
5920,48.727303,23.250429,58.56298,26.09645
